"Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
45.0766215188078,22.479416361225,67.6738266763905,10.5171785350961,79.6360645025194
45.0766215188078,22.4567207847433,67.6965222528722,10.482468646155,79.6707743914605
45.0766215188078,22.4340479569538,67.7191950806617,10.4477935483361,79.7054494892794
45.0766215188078,22.4113978095873,67.7418452280282,10.413153137231,79.7400899003845
45.0766215188078,22.3887702747157,67.7644727628998,10.3785473089525,79.774695728663
45.0766215188078,22.3661652847492,67.7870777528664,10.3439759601309,79.8092670774846
45.0766215188078,22.343582772434,67.8096602651815,10.3094389879106,79.843804049705
45.0766215188078,22.3210226708501,67.8322203667654,10.274936289946,79.8783067476695
45.0766215188078,22.2984849134088,67.8547581242067,10.2404677643987,79.9127752732168
45.0766215188078,22.2759694338507,67.8772736037648,10.2060333099336,79.947209727682
